type,date,price,pnl
buy,2025-08-04 05:00:00,1.15753,0.00034000000000000696
sell,2025-08-06 02:00:00,1.15787,0.00034000000000000696
buy,2025-08-06 14:00:00,1.16039,0.004350000000000076
sell,2025-08-11 00:00:00,1.16474,0.004350000000000076
buy,2025-08-13 05:00:00,1.16814,-0.0031999999999998696
sell,2025-08-15 01:00:00,1.16494,-0.0031999999999998696
buy,2025-08-18 05:00:00,1.17007,-0.0040599999999999525
sell,2025-08-19 07:00:00,1.16601,-0.0040599999999999525
buy,2025-08-25 03:00:00,1.16975,-0.005310000000000148
sell,2025-08-26 13:00:00,1.16444,-0.005310000000000148
buy,2025-08-28 17:00:00,1.16698,0.0
